op: gmail.users.messages.list
variant: 
format_version: 1
count: 25
fields: id,threadId
records: messages
resultSizeEstimate: 25

18a01865fb,18a01865fb
18adb6772b,18adb6772b
18a9ba9abe,18a9ba9abe
18ac8c8d12,18ac8c8d12
18a1234578,18a1234578
18a38c0361,18a38c0361
18a87f7beb,18a87f7beb
18afd8934c,18afd8934c
18a5cd0396,18a5cd0396
18a50d3407,18a50d3407
18a3f4b97c,18a3f4b97c
18a383154f,18a383154f
18ae1804a6,18ae1804a6
18a3f235ed,18a3f235ed
18a4148881,18a4148881
18ac8e09c2,18ac8e09c2
18a52753d2,18a52753d2
18a2ad0f3e,18a2ad0f3e
18a417c64e,18a417c64e
18a8526662,18a8526662
18a3be5158,18a3be5158
18a62a40c3,18a62a40c3
18a68d3378,18a68d3378
18ad3d26fe,18ad3d26fe
18acb237e7,18acb237e7
